competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,Optimal Movecount,Optimal Solution
DoubleTimeBacolod2025,1.0,f,A,1,R' U' F2 U2 F' U' R U2 R' U2 R,9.0, U2 R' U' F2 U' R F2 R' F2
DoubleTimeBacolod2025,1.0,f,A,2,U R' U' R U' R U' R2 U' F2 U2,9.0, R F U2 F' U2 F' R2 F U'
DoubleTimeBacolod2025,1.0,f,A,3,R U2 R2 U2 R U R2 F' U2 F R,9.0, F2 U' R F' R2 U F' U' R2
DoubleTimeBacolod2025,1.0,f,A,4,R' F' R U' R' U2 F U2 F R2 U2,10.0, F2 U' F' U2 R2 F U2 F2 U R'
DoubleTimeBacolod2025,1.0,f,A,5,R U' R' U2 R' U F' R2 U' R2 U2,9.0, R U' F R2 F U2 F' R F'
AldeillasinFMCOpen2023,1.33,1,C,1,U2 R U2 F U' R U R' U2 F R,8.0, U2 F R' F U F' R2 U'
AldeillasinFMCOpen2023,1.33,1,C,2,F U2 R U R U2 R2 U' R U2 R,8.0, R U2 F' U2 R' U F2 R
AldeillasinFMCOpen2023,1.33,1,C,3,R2 U2 R' U2 R U' R2 U' R F R,10.0, F R2 F' R F' R2 F' R2 U F'
AldeillasinFMCOpen2023,1.33,1,C,4,R U' F U' F U2 F R2 F' U2 R2,9.0, R' F' R F' R2 F' U2 F R'
AldeillasinFMCOpen2023,1.33,1,C,5,U R' U R' U' F' U2 R U R' F,9.0, F2 U2 R' F2 R U F2 R2 U'
BelgianWinter2015,1.33,f,A,1,R' U2 R2 U2 R' U' R' F2 R2 U' F',8.0, R2 F2 R U' R U' R' U
BelgianWinter2015,1.33,f,A,2,R F' R' U' R' U F R' U2 R U,10.0, F U R2 F U' R' F U' R2 U
BelgianWinter2015,1.33,f,A,3,U R' U2 F' R U2 R' U F R2 U',9.0, R2 U' R F R' U R' F2 R2
BelgianWinter2015,1.33,f,A,4,R F U' R2 U2 R' U R' F' U' F,9.0, R F U F2 U F2 R U F
BelgianWinter2015,1.33,f,A,5,R' U' R2 U' R2 F U' R U R F,8.0, R' F R' U R U' F R2
ConcordiaTurning2022,1.33,1,B,1,R' U2 R U2 R2 U' R2 U' F R2 U',9.0, F U' F' U2 F R2 F2 U' F'
ConcordiaTurning2022,1.33,1,B,2,R2 U2 R U2 R F' U2 R' U2 R U',9.0, F R2 U' F U2 R2 F U' R
ConcordiaTurning2022,1.33,1,B,3,R' F' U2 R U2 R2 U F U' F U,9.0, F' U' F2 U' F2 R F2 R' U'
ConcordiaTurning2022,1.33,1,B,4,R' U' F U R' U2 R' U' F' U2 R2,9.0, F2 U' F U' R F U R F
ConcordiaTurning2022,1.33,1,B,5,R2 F U' R' F U2 R U' R' U' F',9.0, U' R' F' R U2 R U F' R2
IceCubingSzczecinek2024,1.33,1,C,1,U2 R' U' F U2 F U' R' F R2 F2,10.0, F U F2 U R2 U R' F' U F2
IceCubingSzczecinek2024,1.33,1,C,2,U' R' U2 F U' F' U R2 U' F' R',9.0, F' U F' R F' U F2 R2 U
IceCubingSzczecinek2024,1.33,1,C,3,R U' R2 U2 F2 R U' R' U2 R U,8.0, R U F2 R2 U' R2 U' R'
IceCubingSzczecinek2024,1.33,1,C,4,R' U F U2 R U' R' U' F U' F,4.0, F2 U R U2
IceCubingSzczecinek2024,1.33,1,C,5,R U' R' U R U' F' U' R F' R2,9.0, F' U2 F' R2 F' U F2 U R'
IndianNationals2016,1.33,3,C,1,R' U R' F U2 R U R' U2 R' U',10.0, F U' F U' R2 F2 R F' U F2
IndianNationals2016,1.33,3,C,2,U' R' F' R U' R' F' R2 F' R2 U2,10.0, F U2 R2 F' R' F' U F' R' U'
IndianNationals2016,1.33,3,C,3,U2 R' U' F R2 U' F' R2 U R U2,9.0, U2 R F R2 F2 U2 R' F U
IndianNationals2016,1.33,3,C,4,U2 R U' R' U' R U2 R2 F' U2 R,8.0, R F U2 R F2 U' F R2
IndianNationals2016,1.33,3,C,5,U' R U' R' U R' U2 F' U2 R F',8.0, U' R2 F' R U F' U F'
PlazaCenterCubeLimalll2024,1.33,1,D,1,R U' R2 U' F R U2 R U2 F' U',10.0, F U R F2 U2 R2 F R' U R2
PlazaCenterCubeLimalll2024,1.33,1,D,2,U R' U R F' U' R2 F U' R U2,10.0, F R2 U' F U F2 R2 F' U F'
PlazaCenterCubeLimalll2024,1.33,1,D,3,U' R' F U' R2 U R' F U' F U2,7.0, F2 R2 F U2 F' U2 F'
PlazaCenterCubeLimalll2024,1.33,1,D,4,U R U' R2 F R' F U' R U R,10.0, F2 U' F2 U' R2 F R F' R2 U'
PlazaCenterCubeLimalll2024,1.33,1,D,5,R' U' R U R' F U F2 R2 F' R',10.0, F2 U2 F R' F2 U F U R2 F2
PlazaNorteRubik2016,1.33,1,B,1,U' R' F R U' R' U2 F R' U R,8.0, F U R' U2 F2 R U' R'
PlazaNorteRubik2016,1.33,1,B,2,R' F U2 R' F' R U R' F R U,8.0, R F2 R' F2 R' U F' R
PlazaNorteRubik2016,1.33,1,B,3,F U2 F U' F' U2 F' U' R U2 R,9.0, R2 F2 U2 R' F' R U' F U'
PlazaNorteRubik2016,1.33,1,B,4,F U' R2 U2 R' U2 R' F U2 R2 F',9.0, F' R F2 U2 R' F U' R U2
PlazaNorteRubik2016,1.33,1,B,5,R' U2 F R U2 R U' F' U2 F' R',10.0, F2 U R' U F' R2 U R F R
PlentziaOpen2017,1.33,2,A,1,R' U' F U2 F U' F U2 F2 U2 R,10.0, F' U F2 R U F2 U2 R' F R
PlentziaOpen2017,1.33,2,A,2,R' F' R U' R F' R2 U F R U,7.0, U F2 R2 U' R2 U' F'
PlentziaOpen2017,1.33,2,A,3,U R' U' R2 F U' R U2 R U' F',8.0, F2 U2 R' F' R U2 F U'
PlentziaOpen2017,1.33,2,A,4,U2 R U2 R' U' R' F R2 F' R' U2,8.0, F' U' F R U F' U2 F
PlentziaOpen2017,1.33,2,A,5,U' R U' R2 F U' R U' R' F U2,9.0, U F' R F R2 U' F2 R U'
SantaRosaSpring2025,1.33,1,A,1,U' R U' R2 F R2 F' U2 R2 F U',10.0, F R2 U R F2 R U2 R F U'
SantaRosaSpring2025,1.33,1,A,2,R' F U2 R2 F U' R U2 R' U' R2,9.0, F' R U2 F' U R' F2 U R
SantaRosaSpring2025,1.33,1,A,3,U R U2 R2 F R' U' R2 U' R' U,9.0, U R' U R2 U F U F2 U2
SantaRosaSpring2025,1.33,1,A,4,R2 F U' F' U' F R2 U2 R' U R,9.0, U' R2 U F' R' U' F R' F
SantaRosaSpring2025,1.33,1,A,5,R2 U' R' U R' F' U2 F R2 U' R',8.0, R2 U' F U' F U' R F2
SeptemberSpeedcubing2017,1.33,f,A,1,F U' R U2 R U2 R' U2 R' U' R2,8.0, R' U2 R U2 R' U2 R' F'
SeptemberSpeedcubing2017,1.33,f,A,2,R2 U' F U2 F' R U2 R' U' R U',7.0, U F R2 U' R F' R
SeptemberSpeedcubing2017,1.33,f,A,3,U2 R' F' U' R2 U' R2 F R' U' R,8.0, U F' R F2 R2 U' F' U
SeptemberSpeedcubing2017,1.33,f,A,4,R U2 F U2 F R U R2 U' R' U,8.0, F R F2 R2 F U R U'
SeptemberSpeedcubing2017,1.33,f,A,5,R' F' R U2 R' F2 U2 F R U R',9.0, U R2 F2 R F' U' F2 U' F
SpontaneousSummer2016,1.33,f,A,1,R' U' R2 U' R2 F2 R U2 R' F' U2,9.0, F2 R F R' F R F2 R U2
SpontaneousSummer2016,1.33,f,A,2,R U' R2 F2 U' F2 U2 R U' R U2,9.0, F' R2 F' R2 F R' F2 R' U'
SpontaneousSummer2016,1.33,f,A,3,R' F U2 R2 F R2 U' F' R2 F R,10.0, R U2 F2 R2 F' R F' U' F U'
SpontaneousSummer2016,1.33,f,A,4,U' R' F' U2 R F U' F U' R2 U',10.0, F R F R2 F' U2 R U' F R2
SpontaneousSummer2016,1.33,f,A,5,U F' R2 U' R2 U' R2 U' R' U R',9.0, U2 R F' R F' R2 U2 F R'
UKC2018,1.33,2,C,1,U' R U' F' U' R2 F U2 R' F R2,10.0, U R2 F2 R U2 F R' F2 U' F
UKC2018,1.33,2,C,2,U' F U' R F' U2 F R U R U2,9.0, R U' R F' U2 F U R2 F'
UKC2018,1.33,2,C,3,U' R' F R2 U' F' R' U' F2 R U2,9.0, U' R F2 U2 R' U R' F2 U
UKC2018,1.33,2,C,4,R' U R' U' F' U2 F' R U2 R' U,9.0, U F' U2 F U F2 U2 F R2
UKC2018,1.33,2,C,5,U R' U' R F' R2 U' F U' F R2,8.0, R2 F2 R' U R2 U2 R U2
VCubeSpielB2023,1.33,1,B,1,R' F' R U2 R' F U2 F' U2 F' U2,10.0, F U R2 U F' U2 R2 F' R F
VCubeSpielB2023,1.33,1,B,2,U' F' U' R2 U2 R U' R' F R U,7.0, F' U F' U' F2 R' F2
VCubeSpielB2023,1.33,1,B,3,U2 R U2 F U' R2 U' R2 U2 F U',9.0, F' U' R' U2 F R F' U R'
VCubeSpielB2023,1.33,1,B,4,U2 R' U' R F' U R U' F' R' U',10.0, F U F2 R' U2 F R U2 R2 F
VCubeSpielB2023,1.33,1,B,5,R2 U2 R U2 R' F U2 R2 U' R2 U,10.0, F2 U R F' R F' U2 F' R2 F
VedrunaBalaguerOpen2020,1.33,1,B,1,U2 R' F' U2 R U' R' U R U' R',9.0, F R U2 R' F2 U F' R U'
VedrunaBalaguerOpen2020,1.33,1,B,2,R' F U' F R U R U' R F U',8.0, R' F' R' F U R' F2 R
VedrunaBalaguerOpen2020,1.33,1,B,3,R U2 R' U' F R U' F2 R U' R,8.0, R F2 U' R2 U F2 R' F'
VedrunaBalaguerOpen2020,1.33,1,B,4,U' R' F U2 F' R2 F U2 F' R U,9.0, R2 F R2 U' R2 U R2 F' R2
VedrunaBalaguerOpen2020,1.33,1,B,5,U R' F R U' R F' R2 F' R' U2,10.0, F U' R2 F' U F R' U R' U
YuraSpeedcubers2017,1.33,1,A,1,U' R' F2 U2 R U' R U2 R' U R',8.0, F2 R F' U2 F R' U F'
YuraSpeedcubers2017,1.33,1,A,2,U2 R' U' R2 F' U' R2 F R' F U',8.0, U' F2 R2 F R' U F R'
YuraSpeedcubers2017,1.33,1,A,3,U R' F R U2 R' F U' R U R2,10.0, F U' F U' F U F' U F2 R'
YuraSpeedcubers2017,1.33,1,A,4,F R U' R U' R2 U' F' R2 F' R',9.0, F2 R F2 U' F' R2 F' U' R2
YuraSpeedcubers2017,1.33,1,A,5,U2 R2 U' R U2 R U' R' U R U',9.0, U2 F R F2 U' F2 R F' U
ACALeagueFinal2019,1.67,f,C,1,U2 F' R U2 R' F' U2 R U R' F',9.0, R2 F2 R U R2 F R2 F R2
ACALeagueFinal2019,1.67,f,C,2,R' U' F' R U2 R' F U2 R' F R2,9.0, R2 U2 R' U' R F' U F U2
ACALeagueFinal2019,1.67,f,C,3,R' U' R U R' U F U' R U' F,10.0, F U R2 U' F2 U R2 U2 F2 U
ACALeagueFinal2019,1.67,f,C,4,R' F2 R' F U2 F U' R U R U',8.0, U R U2 R' U F2 R2 U'
ACALeagueFinal2019,1.67,f,C,5,R U2 R2 U F U R' U2 F R U',9.0, F' U' R U2 R U R' F U'
AOF2017,1.67,2,B,1,U' R' U2 R U R U2 R2 U' R2 F',8.0, F R2 U R2 U' R2 U' R'
AOF2017,1.67,2,B,2,F' U' R U' R U2 F' U' R2 F R,10.0, F2 U F' U2 R U2 R U' R' F'
AOF2017,1.67,2,B,3,U' R' U' F R U R F' U2 F' R2,6.0, R' U' R' U F U2
AOF2017,1.67,2,B,4,U R' U2 F' R2 U' R2 U R' U2 F,9.0, F2 U2 R' F U2 R U' R' U2
AOF2017,1.67,2,B,5,R' U' R U R' F2 R U2 R' F2 U',8.0, U2 R2 U' R' U2 R' U2 F
AlabamaChampionship2024,1.67,1,D,1,U' R U' F' R' U R F' U' R F',9.0, F2 U' F2 R' U F U2 F R2
AlabamaChampionship2024,1.67,1,D,2,R' F R U F U2 F' R F R U,10.0, F' R2 U R2 U' R2 U' F R F2
AlabamaChampionship2024,1.67,1,D,3,U' R U2 F' R2 F R U F' U' R,9.0, R2 F' R' U2 R' U F2 R' F2
AlabamaChampionship2024,1.67,1,D,4,R' F U2 R U' R' U2 R U2 R F,9.0, U F U2 F2 R' F U2 F' U
AlabamaChampionship2024,1.67,1,D,5,R U2 R' U' R' F' U F U' F2 U2,9.0, F2 R2 F' R' U2 F' R2 F' U2
AlicanteOpen2017,1.67,1,B,1,R U' R2 U F U' R' U2 F R2 F',9.0, F' U2 F R F2 U R' F2 U'
AlicanteOpen2017,1.67,1,B,2,R' U' R2 F' R2 F U R2 U2 R' U',8.0, F' U2 F U2 F R U2 R'
AlicanteOpen2017,1.67,1,B,3,U2 F U' R U' R' U' R F U' F',8.0, R U2 F2 R' U R' F R'
AlicanteOpen2017,1.67,1,B,4,U' R F' U2 R U' R2 F' R U R',9.0, U' F' R U' F U2 F2 U R'
AlicanteOpen2017,1.67,1,B,5,R' F U' R2 U' F' U' R2 F U2 R2,8.0, F2 U R2 F' U R U2 F
AmritaNewcomersTwistathon2025,1.67,f,E,1,F' R' U' R U' F U' F R U R,9.0, F U F U2 R2 F' R' U' R'
AmritaNewcomersTwistathon2025,1.67,f,E,2,R' U2 R' U2 F U F R U' R' U',9.0, U' R2 F R' F' U F2 R F'
AmritaNewcomersTwistathon2025,1.67,f,E,3,R' F' U' R F' R' U' R F' R2 U',9.0, R2 F' R2 F' U' R2 U F R
AmritaNewcomersTwistathon2025,1.67,f,E,4,R' F' R2 U' F' R2 U' F R2 F' U',9.0, U R2 F2 U R U2 R' U2 R2
AmritaNewcomersTwistathon2025,1.67,f,E,5,R' U' R U' R' U F R U R F',8.0, F2 U' F' U2 R U2 R' U'
AnapoimaII2025,1.67,d,C,1,U2 R' U' F R U' F U2 R U R,9.0, U2 R' U F2 U F R2 U2 R
AnapoimaII2025,1.67,d,C,2,F U' R U2 R U' F' R2 U2 R U',9.0, R' U F2 R' U' F2 U F' U2
AnapoimaII2025,1.67,d,C,3,U2 R' U2 F U' F R U R' F R2,9.0, R2 F2 R F2 R U2 F' R2 U
AnapoimaII2025,1.67,d,C,4,R' U' F R2 U' F' R2 U2 F' R2 F',10.0, F R2 F2 U F' R2 U R U2 F2
AnapoimaII2025,1.67,d,C,5,U R2 U' R2 F' U' R' U' R2 U' R',10.0, F2 U F U2 R U2 R F U2 R'
AvenidaChileVLevels2023,1.67,d,A,1,R' U' F' R U' F R U R' U' F,7.0, F R' F2 U2 R' F U'
AvenidaChileVLevels2023,1.67,d,A,2,U2 R' U2 R2 F' R' U2 R' F R2 F',7.0, F' U R' U F U2 F'
AvenidaChileVLevels2023,1.67,d,A,3,R' U2 R U2 R' U' F' R F U' R2,8.0, R U2 R F2 R F R' F
AvenidaChileVLevels2023,1.67,d,A,4,R U' R' U2 F U' F R U' R2 U,9.0, F U' F2 U' R' U R' U' F2
AvenidaChileVLevels2023,1.67,d,A,5,R U' F' U2 R2 F R' F R2 U2 R',9.0, F' U' R U R' F' R U F'
BASC56BASED2024,1.67,2,A,1,U' R U2 R2 U' F R' F R F R2,10.0, F2 U' R U R2 U R F2 U' F2
BASC56BASED2024,1.67,2,A,2,F U' R U' R' U' F U' F U F',9.0, F2 U F U2 R' F2 R U2 F'
BASC56BASED2024,1.67,2,A,3,R U2 R2 F R' F U' R U' F U,8.0, U F2 R' U F U2 F U2
BASC56BASED2024,1.67,2,A,4,U2 R' U' R' F U F U' R U R,7.0, F2 U F2 U' F2 U' F'
BASC56BASED2024,1.67,2,A,5,R' F U F' U2 R2 U2 R2 F R2 U2,7.0, R2 F U2 F U' F' R
BalamCubesBaywalkSides2025,1.67,1,C,1,U2 R' U' F U' F R' U R2 U2 R2,9.0, U2 R2 F' U' R F' U F' U
BalamCubesBaywalkSides2025,1.67,1,C,2,U2 R' U' F U' R2 F U2 F R U',9.0, F R2 F R' F R U2 F' U2
BalamCubesBaywalkSides2025,1.67,1,C,3,U' R' F' U2 R' U' F U' R' U' R2,9.0, R U R2 U2 F R' F R F'
BalamCubesBaywalkSides2025,1.67,1,C,4,R' U F' R U R U2 R2 U2 F R',9.0, F R2 U R' F2 U2 R' F R
BalamCubesBaywalkSides2025,1.67,1,C,5,R' F R U' R F U2 F U2 F' R,9.0, F2 U2 F R2 F U F' R2 F'
BergenOpen2021,1.67,f,A,1,U2 R U' R F' U2 R2 F U2 F R2,9.0, R' U2 R' F U R2 F' U R2
BergenOpen2021,1.67,f,A,2,R U' R' U F' U2 F' U R U R',9.0, F2 U2 F U R2 F' R2 F R2
BergenOpen2021,1.67,f,A,3,R U' R2 U' R U2 F R U2 R' U2,10.0, F U2 F R U' R2 U' F U2 R
BergenOpen2021,1.67,f,A,4,U F R2 U2 F' R' U2 R U2 F' U',9.0, R2 F R2 F U' F R' U' R
BergenOpen2021,1.67,f,A,5,U R U2 R2 F R U' R' U2 F2 U2,8.0, U2 F R' F R' U2 R U'
BluegrassSpring2022,1.67,1,B,1,U R' U R' U' F U' F R2 F' U',9.0, F' U2 R U' R F2 U' F' U2
BluegrassSpring2022,1.67,1,B,2,U R' U2 F R2 U2 F R2 U' R' U2,9.0, U F U2 R' U2 R F2 U' F
BluegrassSpring2022,1.67,1,B,3,R' U2 F U2 R2 F' R' U' R2 F U2,9.0, F2 R F2 U' F U' R U F2
BluegrassSpring2022,1.67,1,B,4,U' R' F U2 F R2 F' U R' F U2,9.0, U F2 U' R U2 R' U F R2
BluegrassSpring2022,1.67,1,B,5,R' U' F' U' F R' F U' R U2 R',10.0, F U2 F U2 R' U' R2 F U2 F'
BredaOpen2019,1.67,1,E,1,F U2 R2 U2 R' U' R U' R2 U2 F',10.0, F U2 R2 U R' U R' U2 R2 F'
BredaOpen2019,1.67,1,E,2,R' U' R U F R U R U2 F' R2,8.0, R U' R' F R2 F R' F'
BredaOpen2019,1.67,1,E,3,U' F' U2 R2 U' R' U2 R' F R' U',9.0, U R U R2 F2 R F R2 F
BredaOpen2019,1.67,1,E,4,U2 R' U2 F U' R2 F R' U2 F R,10.0, F R U2 F' R F U2 R2 U R'
BredaOpen2019,1.67,1,E,5,R' U F' R U R' F2 R2 U' R2 U',9.0, U F' U2 R F' R2 F U R2
BrilliantBallarat2022,1.67,1,C,1,U' R' F' U R' U' F2 R2 U2 R2 F,9.0, F U R' F U R2 F' R2 F
BrilliantBallarat2022,1.67,1,C,2,R' F R U R' U2 F U' R F U2,9.0, U' F R2 U' R' U R U' R2
BrilliantBallarat2022,1.67,1,C,3,R2 F' U2 F U2 R2 U' R2 U2 R U,9.0, U R2 U' F' U2 R2 F' U2 F'
BrilliantBallarat2022,1.67,1,C,4,R' U' R2 U' R' U' R U' R' U' R,10.0, F U R' F2 R' F' R' U R2 F
BrilliantBallarat2022,1.67,1,C,5,R' F' R2 F' R2 F U' R2 F' U' R',10.0, F2 U' F2 U' F U2 F2 R F U
CKCubingParty2023,1.67,2,D,1,U2 R' F2 R2 U' R2 U' R U' F U2,10.0, F R' U F' R2 U2 R U' R F
CKCubingParty2023,1.67,2,D,2,U2 R' U' F U2 R U R2 F U R',9.0, F' R2 U' F' U2 F' U R U2
CKCubingParty2023,1.67,2,D,3,F' U' F U2 R2 U' R2 U2 R U2 R',9.0, R' F R F2 U' F R' U R'
CKCubingParty2023,1.67,2,D,4,U R' U' F R' U' F U2 F' R2 F',9.0, F R U F' R U2 R F' R2
CKCubingParty2023,1.67,2,D,5,R' F U2 R U2 R' U' F2 R2 U' R2,9.0, F2 U R' F2 U2 F' R U' F
CajunCubeClash2019,1.67,1,C,1,U R' U' R' F R' U' F U2 R2 U',10.0, F2 U R U2 F2 U' R2 F2 U' R'
CajunCubeClash2019,1.67,1,C,2,U2 R F' U' R2 U2 R' U' R2 U' F',9.0, F R2 F U' R F U2 F R
CajunCubeClash2019,1.67,1,C,3,R U' F' R' U' R U2 R' U' R U',8.0, F' R' U R F2 R2 U R
CajunCubeClash2019,1.67,1,C,4,F R U R U R' F U' R U' R,8.0, R' U2 R U R' F U' F'
CajunCubeClash2019,1.67,1,C,5,R' F R U2 R' F R2 U' F' R' F,8.0, U F R U' R2 U F' U
ChampagneOpen2019,1.67,f,A,1,U2 R' F U' R F' R U2 R' F R2,9.0, F2 U F2 U' F2 U' R2 U F2
ChampagneOpen2019,1.67,f,A,2,U2 R' U' F' U' F' U' F U2 R U,8.0, U F U F' R' F' R U2
ChampagneOpen2019,1.67,f,A,3,U' R U' F' R2 U' F R' U2 F2 R2,8.0, F2 U R2 F' R U' R' U2
ChampagneOpen2019,1.67,f,A,4,U' R' U' R' U' F U' R U' F U',10.0, F2 U F' R2 F R F U2 R' U'
ChampagneOpen2019,1.67,f,A,5,R F' R2 F R2 U' F U' R2 U2 R',9.0, F U2 F R F' R F U' R2
ChippenhamAutumn2022,1.67,2,B,1,R' U' R' F U2 F U' R U' F U',10.0, F U' R' F R2 F' U F U F2
ChippenhamAutumn2022,1.67,2,B,2,U2 R' U' F' U2 R2 U' R2 F R' U',9.0, F R2 U F' R U2 R F2 R2
ChippenhamAutumn2022,1.67,2,B,3,R' U F' U' F' U2 F R2 U2 R' U,10.0, F U R' U' F U2 F R' F2 U
ChippenhamAutumn2022,1.67,2,B,4,U' R2 U R U' R' F U2 F U2 R,10.0, F R2 U' F R' F R' F U2 F
ChippenhamAutumn2022,1.67,2,B,5,U2 R' F2 R U' R' U2 F2 U' F U',9.0, R F R2 F2 U2 R' F U2 F
ConquisteoCubo2019,1.67,f,B,1,R U' R' F' U' F U' F U F' R,9.0, R2 U' R F' U' R U2 R U
ConquisteoCubo2019,1.67,f,B,2,R U2 F' R U2 R2 F R U' R F',9.0, F2 R' U R U2 R U' F' R2
ConquisteoCubo2019,1.67,f,B,3,U' R F' U2 R2 F U2 R2 F' R2 U',9.0, U F' U F2 R' U R U' F'
ConquisteoCubo2019,1.67,f,B,4,U R' F R F R U2 R U2 R' F,9.0, F2 U2 F' U' F2 R2 U' F' R'
ConquisteoCubo2019,1.67,f,B,5,U R' U2 F U2 F U' F' R2 U' R2,7.0, F' U F' R2 U2 F' U
CopaInframundoHN2018,1.67,f,C,1,U R F' R2 U' R U' R2 F U2 R,9.0, U F' R' U' R2 F U' R U'
CopaInframundoHN2018,1.67,f,C,2,R' F U2 F' R U2 R U2 R' U2 R',9.0, U R' F' R2 F' R U' F U2
CopaInframundoHN2018,1.67,f,C,3,F R U' R' F R U2 R' U2 R2 U2,9.0, F2 R2 U2 F' U R U' F R2
CopaInframundoHN2018,1.67,f,C,4,U' F R U' F R U' R' F U2 F,9.0, U F2 R F' U F2 R' U' R2
CopaInframundoHN2018,1.67,f,C,5,R F' R2 U2 F U R2 U' R2 F R,10.0, F R2 F' U2 F' U' F' R2 U F
CountryRoadsHuntington2023,1.67,1,A,1,F' R' U R' U' F U2 R2 U' R U',9.0, R2 U' F' R2 U F R' U F'
CountryRoadsHuntington2023,1.67,1,A,2,U2 R U2 F' R2 U' R F U' R U',9.0, U' R2 F2 R' F' R2 F' U F
CountryRoadsHuntington2023,1.67,1,A,3,R F' R2 F2 U' R U' R' F R2 U2,9.0, F2 R2 F R' U' F R F R
CountryRoadsHuntington2023,1.67,1,A,4,U2 R' U F2 R2 U' R2 U R2 U' R2,9.0, U2 R U F2 U F2 U R' F2
CountryRoadsHuntington2023,1.67,1,A,5,U F U2 F R U' R U2 R2 U F,9.0, F' U R2 F' R' F R F' U'
CrazyCubesOpen2017,1.67,d,B,1,R U' F' U2 R2 F' U2 F' U' R U2,9.0, F2 R2 F' R2 F U2 F2 R2 F'
CrazyCubesOpen2017,1.67,d,B,2,U' R' F' U2 R F R2 U' R2 U2 R,7.0, R U2 F R2 F' R F'
CrazyCubesOpen2017,1.67,d,B,3,U' R U2 F' U' R2 U' F R2 U' R2,10.0, U R' F' U R U' F2 R F U'
CrazyCubesOpen2017,1.67,d,B,4,R F U' F U' F R2 U' F R U',8.0, R2 F U' F2 R U F U
CrazyCubesOpen2017,1.67,d,B,5,U' R2 U2 R2 F U' R U2 R' F R2,10.0, F2 U F2 U F' U2 R F R' U2
CrevalcorealCubo2025,1.67,2,A,1,U2 F2 R U' R U2 R' U R' U' F,9.0, U F' R2 U F2 U R F2 U'
CrevalcorealCubo2025,1.67,2,A,2,U2 F2 U' R U R U' R' U' R' U2,4.0, U' F2 U2 R'
CrevalcorealCubo2025,1.67,2,A,3,U R U' R' F R U R U2 R2 U2,7.0, F' U2 R2 U F' R2 U'
CrevalcorealCubo2025,1.67,2,A,4,R' U2 F' R2 U' R' U2 R F' R F',9.0, F R' U2 R' U2 F' U F2 U'
