competition_id,mean,round_type_id,group_id,scramble_num,scramble,Optimal Movecount,Optimal Solution
VedrunaBalaguerOpen2020,1.2,1,B,1,U2 R' F' U2 R U' R' U R U' R',9.0, F R U2 R' F2 U F' R U'
VedrunaBalaguerOpen2020,1.2,1,B,2,R' F U' F R U R U' R F U',8.0, R' F' R' F U R' F2 R
VedrunaBalaguerOpen2020,1.2,1,B,3,R U2 R' U' F R U' F2 R U' R,8.0, R F2 U' R2 U F2 R' F'
VedrunaBalaguerOpen2020,1.2,1,B,4,U' R' F U2 F' R2 F U2 F' R U,9.0, R2 F R2 U' R2 U R2 F' R2
VedrunaBalaguerOpen2020,1.2,1,B,5,U R' F R U' R F' R2 F' R' U2,10.0, F U' R2 F' U F R' U R' U
AldeillasinFMCOpen2023,1.4,1,C,1,U2 R U2 F U' R U R' U2 F R,8.0, U2 F R' F U F' R2 U'
AldeillasinFMCOpen2023,1.4,1,C,2,F U2 R U R U2 R2 U' R U2 R,8.0, R U2 F' U2 R' U F2 R
AldeillasinFMCOpen2023,1.4,1,C,3,R2 U2 R' U2 R U' R2 U' R F R,10.0, F R2 F' R F' R2 F' R2 U F'
AldeillasinFMCOpen2023,1.4,1,C,4,R U' F U' F U2 F R2 F' U2 R2,9.0, R' F' R F' R2 F' U2 F R'
AldeillasinFMCOpen2023,1.4,1,C,5,U R' U R' U' F' U2 R U R' F,9.0, F2 U2 R' F2 R U F2 R2 U'
BelgianWinter2015,1.4,f,A,1,R' U2 R2 U2 R' U' R' F2 R2 U' F',8.0, R2 F2 R U' R U' R' U
BelgianWinter2015,1.4,f,A,2,R F' R' U' R' U F R' U2 R U,10.0, F U R2 F U' R' F U' R2 U
BelgianWinter2015,1.4,f,A,3,U R' U2 F' R U2 R' U F R2 U',9.0, R2 U' R F R' U R' F2 R2
BelgianWinter2015,1.4,f,A,4,R F U' R2 U2 R' U R' F' U' F,9.0, R F U F2 U F2 R U F
BelgianWinter2015,1.4,f,A,5,R' U' R2 U' R2 F U' R U R F,8.0, R' F R' U R U' F R2
ConcordiaTurning2022,1.4,1,B,1,R' U2 R U2 R2 U' R2 U' F R2 U',9.0, F U' F' U2 F R2 F2 U' F'
ConcordiaTurning2022,1.4,1,B,2,R2 U2 R U2 R F' U2 R' U2 R U',9.0, F R2 U' F U2 R2 F U' R
ConcordiaTurning2022,1.4,1,B,3,R' F' U2 R U2 R2 U F U' F U,9.0, F' U' F2 U' F2 R F2 R' U'
ConcordiaTurning2022,1.4,1,B,4,R' U' F U R' U2 R' U' F' U2 R2,9.0, F2 U' F U' R F U R F
ConcordiaTurning2022,1.4,1,B,5,R2 F U' R' F U2 R U' R' U' F',9.0, U' R' F' R U2 R U F' R2
Cube4funWislaMasters2023,1.4,1,A,1,R U' R' U R' U F U F U2 R',10.0, F U F U' F2 R F' U2 F R
Cube4funWislaMasters2023,1.4,1,A,2,U2 R' U' R2 U' R2 U' R F2 R2 U2,9.0, R2 F2 R U' R2 U' R2 U' R'
Cube4funWislaMasters2023,1.4,1,A,3,U2 R F' R' U' R2 U' R2 F U2 R,9.0, F R' U' R F2 R2 F R' U
Cube4funWislaMasters2023,1.4,1,A,4,R F' U R' F U2 R U F U' R,10.0, F U' F R2 F' R F' R2 F2 U2
Cube4funWislaMasters2023,1.4,1,A,5,R' U R2 U2 R2 F U' R2 U' F R,9.0, F' R F2 R F' U2 R F R
DoubleTimeBacolod2025,1.4,f,A,1,R' U' F2 U2 F' U' R U2 R' U2 R,9.0, U2 R' U' F2 U' R F2 R' F2
DoubleTimeBacolod2025,1.4,f,A,2,U R' U' R U' R U' R2 U' F2 U2,9.0, R F U2 F' U2 F' R2 F U'
DoubleTimeBacolod2025,1.4,f,A,3,R U2 R2 U2 R U R2 F' U2 F R,9.0, F2 U' R F' R2 U F' U' R2
DoubleTimeBacolod2025,1.4,f,A,4,R' F' R U' R' U2 F U2 F R2 U2,10.0, F2 U' F' U2 R2 F U2 F2 U R'
DoubleTimeBacolod2025,1.4,f,A,5,R U' R' U2 R' U F' R2 U' R2 U2,9.0, R U' F R2 F U2 F' R F'
IceCubingSzczecinek2024,1.4,1,C,1,U2 R' U' F U2 F U' R' F R2 F2,10.0, F U F2 U R2 U R' F' U F2
IceCubingSzczecinek2024,1.4,1,C,2,U' R' U2 F U' F' U R2 U' F' R',9.0, F' U F' R F' U F2 R2 U
IceCubingSzczecinek2024,1.4,1,C,3,R U' R2 U2 F2 R U' R' U2 R U,8.0, R U F2 R2 U' R2 U' R'
IceCubingSzczecinek2024,1.4,1,C,4,R' U F U2 R U' R' U' F U' F,4.0, F2 U R U2
IceCubingSzczecinek2024,1.4,1,C,5,R U' R' U R U' F' U' R F' R2,9.0, F' U2 F' R2 F' U F2 U R'
PlazaCenterCubeLimalll2024,1.4,1,D,1,R U' R2 U' F R U2 R U2 F' U',10.0, F U R F2 U2 R2 F R' U R2
PlazaCenterCubeLimalll2024,1.4,1,D,2,U R' U R F' U' R2 F U' R U2,10.0, F R2 U' F U F2 R2 F' U F'
PlazaCenterCubeLimalll2024,1.4,1,D,3,U' R' F U' R2 U R' F U' F U2,7.0, F2 R2 F U2 F' U2 F'
PlazaCenterCubeLimalll2024,1.4,1,D,4,U R U' R2 F R' F U' R U R,10.0, F2 U' F2 U' R2 F R F' R2 U'
PlazaCenterCubeLimalll2024,1.4,1,D,5,R' U' R U R' F U F2 R2 F' R',10.0, F2 U2 F R' F2 U F U R2 F2
PlazaNorteRubik2016,1.4,1,B,1,U' R' F R U' R' U2 F R' U R,8.0, F U R' U2 F2 R U' R'
PlazaNorteRubik2016,1.4,1,B,2,R' F U2 R' F' R U R' F R U,8.0, R F2 R' F2 R' U F' R
PlazaNorteRubik2016,1.4,1,B,3,F U2 F U' F' U2 F' U' R U2 R,9.0, R2 F2 U2 R' F' R U' F U'
PlazaNorteRubik2016,1.4,1,B,4,F U' R2 U2 R' U2 R' F U2 R2 F',9.0, F' R F2 U2 R' F U' R U2
PlazaNorteRubik2016,1.4,1,B,5,R' U2 F R U2 R U' F' U2 F' R',10.0, F2 U R' U F' R2 U R F R
PlentziaOpen2017,1.4,2,A,1,R' U' F U2 F U' F U2 F2 U2 R,10.0, F' U F2 R U F2 U2 R' F R
PlentziaOpen2017,1.4,2,A,2,R' F' R U' R F' R2 U F R U,7.0, U F2 R2 U' R2 U' F'
PlentziaOpen2017,1.4,2,A,3,U R' U' R2 F U' R U2 R U' F',8.0, F2 U2 R' F' R U2 F U'
PlentziaOpen2017,1.4,2,A,4,U2 R U2 R' U' R' F R2 F' R' U2,8.0, F' U' F R U F' U2 F
PlentziaOpen2017,1.4,2,A,5,U' R U' R2 F U' R U' R' F U2,9.0, U F' R F R2 U' F2 R U'
PrincetonFall2017,1.4,1,D,1,U R' U2 F R2 U' R2 U R F R2,9.0, F' U' R' F' R F2 U' F2 U'
PrincetonFall2017,1.4,1,D,2,U' R' U2 F' U' F R2 F' R2 U F,9.0, U R2 U' R U2 F' R U' F2
PrincetonFall2017,1.4,1,D,3,U' R' U2 F R2 U' F' R2 F' U R2,9.0, F R' F2 U2 R' F' R2 F2 U
PrincetonFall2017,1.4,1,D,4,U' R U2 F' U' R' U F' R2 U' R2,9.0, F' R2 F R F U2 F U' F2
PrincetonFall2017,1.4,1,D,5,U' R F' R2 U' F2 U2 R U' R' F',9.0, U2 F R' U R' U2 R' F' U2
SantaRosaSpring2025,1.4,1,A,1,U' R U' R2 F R2 F' U2 R2 F U',10.0, F R2 U R F2 R U2 R F U'
SantaRosaSpring2025,1.4,1,A,2,R' F U2 R2 F U' R U2 R' U' R2,9.0, F' R U2 F' U R' F2 U R
SantaRosaSpring2025,1.4,1,A,3,U R U2 R2 F R' U' R2 U' R' U,9.0, U R' U R2 U F U F2 U2
SantaRosaSpring2025,1.4,1,A,4,R2 F U' F' U' F R2 U2 R' U R,9.0, U' R2 U F' R' U' F R' F
SantaRosaSpring2025,1.4,1,A,5,R2 U' R' U R' F' U2 F R2 U' R',8.0, R2 U' F U' F U' R F2
VCubeSpielB2023,1.4,1,B,1,R' F' R U2 R' F U2 F' U2 F' U2,10.0, F U R2 U F' U2 R2 F' R F
VCubeSpielB2023,1.4,1,B,2,U' F' U' R2 U2 R U' R' F R U,7.0, F' U F' U' F2 R' F2
VCubeSpielB2023,1.4,1,B,3,U2 R U2 F U' R2 U' R2 U2 F U',9.0, F' U' R' U2 F R F' U R'
VCubeSpielB2023,1.4,1,B,4,U2 R' U' R F' U R U' F' R' U',10.0, F U F2 R' U2 F R U2 R2 F
VCubeSpielB2023,1.4,1,B,5,R2 U2 R U2 R' F U2 R2 U' R2 U,10.0, F2 U R F' R F' U2 F' R2 F
AuxiliadoraOpen2023,1.6,f,A,1,R U2 R2 F R U' F U R2 U2 R',9.0, F' U2 R2 F R' U2 R' F2 R'
AuxiliadoraOpen2023,1.6,f,A,2,U' R2 U2 F' R' U2 R F' U' R' U,9.0, F2 R F' U' F2 U' F' U2 F
AuxiliadoraOpen2023,1.6,f,A,3,U2 R2 U' R' U' R' F U' R U2 F2,10.0, F2 U2 R' U F' U2 R U R U'
AuxiliadoraOpen2023,1.6,f,A,4,R' U' R U' F R U' R U2 F' R2,8.0, F2 R F2 U' F2 U' F' R
AuxiliadoraOpen2023,1.6,f,A,5,U2 R' U' F2 R U2 R' F U2 F' U2,9.0, F R' F U' R U R F2 R
BalamCubesBaywalkSides2025,1.6,1,C,1,U2 R' U' F U' F R' U R2 U2 R2,9.0, U2 R2 F' U' R F' U F' U
BalamCubesBaywalkSides2025,1.6,1,C,2,U2 R' U' F U' R2 F U2 F R U',9.0, F R2 F R' F R U2 F' U2
BalamCubesBaywalkSides2025,1.6,1,C,3,U' R' F' U2 R' U' F U' R' U' R2,9.0, R U R2 U2 F R' F R F'
BalamCubesBaywalkSides2025,1.6,1,C,4,R' U F' R U R U2 R2 U2 F R',9.0, F R2 U R' F2 U2 R' F R
BalamCubesBaywalkSides2025,1.6,1,C,5,R' F R U' R F U2 F U2 F' R,9.0, F2 U2 F R2 F U F' R2 F'
ChampagneOpen2019,1.6,f,A,1,U2 R' F U' R F' R U2 R' F R2,9.0, F2 U F2 U' F2 U' R2 U F2
ChampagneOpen2019,1.6,f,A,2,U2 R' U' F' U' F' U' F U2 R U,8.0, U F U F' R' F' R U2
ChampagneOpen2019,1.6,f,A,3,U' R U' F' R2 U' F R' U2 F2 R2,8.0, F2 U R2 F' R U' R' U2
ChampagneOpen2019,1.6,f,A,4,U' R' U' R' U' F U' R U' F U',10.0, F2 U F' R2 F R F U2 R' U'
ChampagneOpen2019,1.6,f,A,5,R F' R2 F R2 U' F U' R2 U2 R',9.0, F U2 F R F' R F U' R2
ConquisteoCubo2019,1.6,f,B,1,R U' R' F' U' F U' F U F' R,9.0, R2 U' R F' U' R U2 R U
ConquisteoCubo2019,1.6,f,B,2,R U2 F' R U2 R2 F R U' R F',9.0, F2 R' U R U2 R U' F' R2
ConquisteoCubo2019,1.6,f,B,3,U' R F' U2 R2 F U2 R2 F' R2 U',9.0, U F' U F2 R' U R U' F'
ConquisteoCubo2019,1.6,f,B,4,U R' F R F R U2 R U2 R' F,9.0, F2 U2 F' U' F2 R2 U' F' R'
ConquisteoCubo2019,1.6,f,B,5,U R' U2 F U2 F U' F' R2 U' R2,7.0, F' U F' R2 U2 F' U
CountryRoadsHuntington2023,1.6,1,A,1,F' R' U R' U' F U2 R2 U' R U',9.0, R2 U' F' R2 U F R' U F'
CountryRoadsHuntington2023,1.6,1,A,2,U2 R U2 F' R2 U' R F U' R U',9.0, U' R2 F2 R' F' R2 F' U F
CountryRoadsHuntington2023,1.6,1,A,3,R F' R2 F2 U' R U' R' F R2 U2,9.0, F2 R2 F R' U' F R F R
CountryRoadsHuntington2023,1.6,1,A,4,U2 R' U F2 R2 U' R2 U R2 U' R2,9.0, U2 R U F2 U F2 U R' F2
CountryRoadsHuntington2023,1.6,1,A,5,U F U2 F R U' R U2 R2 U F,9.0, F' U R2 F' R' F R F' U'
CrazyCubesOpen2017,1.6,d,B,1,R U' F' U2 R2 F' U2 F' U' R U2,9.0, F2 R2 F' R2 F U2 F2 R2 F'
CrazyCubesOpen2017,1.6,d,B,2,U' R' F' U2 R F R2 U' R2 U2 R,7.0, R U2 F R2 F' R F'
CrazyCubesOpen2017,1.6,d,B,3,U' R U2 F' U' R2 U' F R2 U' R2,10.0, U R' F' U R U' F2 R F U'
CrazyCubesOpen2017,1.6,d,B,4,R F U' F U' F R2 U' F R U',8.0, R2 F U' F2 R U F U
CrazyCubesOpen2017,1.6,d,B,5,U' R2 U2 R2 F U' R U2 R' F R2,10.0, F2 U F2 U F' U2 R F R' U2
ElPuenteSanGil2023,1.6,1,B,1,U R U2 F' U' F' R' U' R' U R,8.0, R' U' R2 F R' F2 R F
ElPuenteSanGil2023,1.6,1,B,2,U' R' F R2 F' R2 U2 F2 U R U',10.0, F U' F R' F' U F U' R2 U'
ElPuenteSanGil2023,1.6,1,B,3,R' U' R U R F' R2 F' U2 F R2,9.0, U F U2 R U R F2 R2 U'
ElPuenteSanGil2023,1.6,1,B,4,U F' R2 F U2 F' R U R' F R,10.0, F2 U' R2 F U' F2 U' F' R U'
ElPuenteSanGil2023,1.6,1,B,5,U' R' U2 F U R' U2 R2 U' R' U',8.0, R F R' U2 F2 R' U R'
FitchburgFingertricks2025,1.6,1,C,1,F' R2 U' R2 U' F R U2 R' F R,8.0, F R F R' U F2 R' U2
FitchburgFingertricks2025,1.6,1,C,2,F U' F R U2 R' U2 R U R' F',4.0, U2 F U2 F2
FitchburgFingertricks2025,1.6,1,C,3,F U' F U' R2 U' R2 U2 R2 U2 R',7.0, R' U' R2 U F' U F'
FitchburgFingertricks2025,1.6,1,C,4,U R U2 R2 F' U' F U R2 U' R2,8.0, R2 U F R F' U R' U'
FitchburgFingertricks2025,1.6,1,C,5,U2 R U2 R' U R' F2 U' F' R2 U',9.0, F2 U' R F' R F R2 F2 U2
HonoluluHPermHoike2023,1.6,1,B,1,R' U' R' F R U' R' U2 F R U2,9.0, U2 R U' R2 F2 R U2 F' U
HonoluluHPermHoike2023,1.6,1,B,2,U R U2 F2 R U' R2 U' R2 U' R2,9.0, F2 U F U' F2 U' R' U2 F'
HonoluluHPermHoike2023,1.6,1,B,3,U2 R' U' R U' R U' R2 F' R' U',9.0, U R U2 R2 U' F' R U' F'
HonoluluHPermHoike2023,1.6,1,B,4,F U2 R2 U' F' U' R2 U' R U' R',8.0, R' U2 R' F' R U' F U2
HonoluluHPermHoike2023,1.6,1,B,5,U2 R' F' U' F U F U' R U R',9.0, U2 F' U F2 U2 F U' R U'
MimosaMallMasterCubers2022,1.6,2,B,1,U' R U R' U2 R U' R U' R2 F2,9.0, F U2 R' F' U F' R F U'
MimosaMallMasterCubers2022,1.6,2,B,2,R F' R' U R' U' F R2 U' R U',8.0, U R F' R2 U F' U2 F
MimosaMallMasterCubers2022,1.6,2,B,3,U2 F' R2 U2 F' R U' R U2 F' U2,8.0, F R2 F2 R F R' F2 R2
MimosaMallMasterCubers2022,1.6,2,B,4,R U' R' F U2 R' U' R U2 R' U2,8.0, F2 R U' F R' U F' U2
MimosaMallMasterCubers2022,1.6,2,B,5,R F' R2 U F U2 R' U' R U' R,9.0, F R U2 F' R2 U R' F2 R2
NRHanukkahBIsrael2025,1.6,1,D,1,U R' U2 F U F' R U R' U' F',9.0, F2 U' R U R' F2 U2 R U'
NRHanukkahBIsrael2025,1.6,1,D,2,R' U R U2 R F' R2 F U2 R U,8.0, F2 U R2 U2 F U R U2
NRHanukkahBIsrael2025,1.6,1,D,3,R' U F U2 R U R' U R' U2 R2,9.0, U' F2 U F' U2 R2 F R' F
NRHanukkahBIsrael2025,1.6,1,D,4,U' R' F U' R U' R' F2 U2 F' U2,9.0, F2 U F U' F2 U' R' F R2
NRHanukkahBIsrael2025,1.6,1,D,5,U' R U' R U' F' U' F' R2 F R2,10.0, F U' R' F2 R' F R2 U F R2
NacionalesElSalvador2024,1.6,1,A,1,R' U' R U2 R' F U2 R2 F' R' U2,9.0, F R2 F' R F2 U' R2 U R2
NacionalesElSalvador2024,1.6,1,A,2,F' U2 F R U' R F' R' U2 R' U',9.0, F R2 U F U2 R F' U R'
NacionalesElSalvador2024,1.6,1,A,3,R U R' F U2 R2 U2 R2 U' R2 U2,8.0, U2 F R' U R U' R F
NacionalesElSalvador2024,1.6,1,A,4,R F' R U2 R2 F' U' R U' R U2,8.0, R U' F2 U F2 U R' F'
NacionalesElSalvador2024,1.6,1,A,5,R U' R2 F' R U' R U2 R' U F,9.0, U' R U F' U2 F' U' F R2
SeptemberSpeedcubing2017,1.6,f,A,1,F U' R U2 R U2 R' U2 R' U' R2,8.0, R' U2 R U2 R' U2 R' F'
SeptemberSpeedcubing2017,1.6,f,A,2,R2 U' F U2 F' R U2 R' U' R U',7.0, U F R2 U' R F' R
SeptemberSpeedcubing2017,1.6,f,A,3,U2 R' F' U' R2 U' R2 F R' U' R,8.0, U F' R F2 R2 U' F' U
SeptemberSpeedcubing2017,1.6,f,A,4,R U2 F U2 F R U R2 U' R' U,8.0, F R F2 R2 F U R U'
SeptemberSpeedcubing2017,1.6,f,A,5,R' F' R U2 R' F2 U2 F R U R',9.0, U R2 F2 R F' U' F2 U' F
SingaporeMini2019,1.6,f,A,1,U2 R' U F R2 F U2 R U' R' F,8.0, R' U F2 U2 R2 U' F R2
SingaporeMini2019,1.6,f,A,2,U R' U R2 U' R' U2 R' U R2 U',9.0, F R2 F2 U' F U' R U2 R'
SingaporeMini2019,1.6,f,A,3,U' R' U2 R U R' U F R' U' R2,8.0, F' R F2 R2 U' F' R2 F'
SingaporeMini2019,1.6,f,A,4,U' R U2 R2 U' F' R U R U' F',7.0, U' F U F R U' R'
SingaporeMini2019,1.6,f,A,5,R' F U2 R U R' U2 F U2 R' U',9.0, R2 F R2 F' R2 U' R' F2 U2
SwisscubingCupIV2019,1.6,f,B,1,U2 R' U' F R U' R F U2 F' U',7.0, R' F R' U R' U2 F2
SwisscubingCupIV2019,1.6,f,B,2,F U' R2 U' R2 U' F U' R2 U2 R2,9.0, R U F R2 U' R2 F U' F2
SwisscubingCupIV2019,1.6,f,B,3,U R2 U' R2 F' R U R' F U' F,9.0, U F U2 R' U R2 F' R F'
SwisscubingCupIV2019,1.6,f,B,4,R U2 R2 U' F R F R U2 F U2,10.0, U F' U' F U' R F' R2 U R
SwisscubingCupIV2019,1.6,f,B,5,U R U2 F U' F U' R U R U',9.0, U2 R U' R' F R' F U R
TunisiaAutumnOpen2016,1.6,f,A,1,U2 R U' R' U' F' R U2 R' F2 R,10.0, F U F' R2 F R F2 U F' U
TunisiaAutumnOpen2016,1.6,f,A,2,R' F' U R U R' F R U R F',8.0, F U R2 F U' R F R
TunisiaAutumnOpen2016,1.6,f,A,3,R U' R2 F' U' F' U' R2 F U2 R,7.0, U2 F2 U' F R' F2 R'
TunisiaAutumnOpen2016,1.6,f,A,4,U F U F R U R' U2 F U2 F,9.0, F U2 F2 R' F R F' U' F
TunisiaAutumnOpen2016,1.6,f,A,5,U2 R' F R2 U' R' U2 F' U2 F U',9.0, F R2 F R U2 R U F' R
UKC2018,1.6,2,C,1,U' R U' F' U' R2 F U2 R' F R2,10.0, U R2 F2 R U2 F R' F2 U' F
UKC2018,1.6,2,C,2,U' F U' R F' U2 F R U R U2,9.0, R U' R F' U2 F U R2 F'
UKC2018,1.6,2,C,3,U' R' F R2 U' F' R' U' F2 R U2,9.0, U' R F2 U2 R' U R' F2 U
UKC2018,1.6,2,C,4,R' U R' U' F' U2 F' R U2 R' U,9.0, U F' U2 F U F2 U2 F R2
UKC2018,1.6,2,C,5,U R' U' R F' R2 U' F U' F R2,8.0, R2 F2 R' U R2 U2 R U2
UlaanbaatarSpring2019,1.6,f,A,1,R F' U2 R' U2 R' U2 R' F R U,8.0, R F2 U' F' U R2 F R
UlaanbaatarSpring2019,1.6,f,A,2,F U' F U' R' U' R U R' F U',9.0, F2 R2 F' R F' R U' R U
UlaanbaatarSpring2019,1.6,f,A,3,U' R2 U' F R2 U' R' F U' R U,9.0, U F' U F' R U2 F' R' U2
UlaanbaatarSpring2019,1.6,f,A,4,U2 R' U' F' U' F R' U' R2 U2 R',9.0, F2 U' F' R2 U R U F' R2
UlaanbaatarSpring2019,1.6,f,A,5,U R' U' R U2 R' U' F U' F' R',9.0, F' R F2 R F R' U R' F'
UralOpen2017,1.6,2,B,1,R' F' U' R U R2 F' U' R' U' R',9.0, U2 F' R' F U2 R2 F U F
UralOpen2017,1.6,2,B,2,R U2 F' R2 F2 U2 F R2 U' R2 U2,7.0, U2 F U2 F2 R2 F' U2
UralOpen2017,1.6,2,B,3,R' F U' R F' U' R' U R' F R,9.0, R' F U' F2 U F' R U R2
UralOpen2017,1.6,2,B,4,F R F R2 U' R' U2 R' F U' F,10.0, F2 R U2 F2 R' F R2 F R U2
UralOpen2017,1.6,2,B,5,U2 R F' R' U R U R' F R2 U',9.0, F U' F U F2 U2 F U F'
UzbekistanNationals2024,1.6,1,A,1,R U' R2 U' R2 F' R U' R2 F U2,10.0, U R F' R2 U R' U2 F2 R F'
UzbekistanNationals2024,1.6,1,A,2,R' U' F U R2 U2 R2 U F U' R2,8.0, F2 U R F2 R F' U F2
UzbekistanNationals2024,1.6,1,A,3,R' F' U F R U' R' U' R U' R2,8.0, R' F2 U R' U' F2 R' U'
UzbekistanNationals2024,1.6,1,A,4,R U' R' U R' U2 F2 U' F R U,10.0, F U R' U R F R' F2 R U
UzbekistanNationals2024,1.6,1,A,5,U' R F' U' F R U R' F2 R U,10.0, F R2 U R' F' U2 F' R' U' F'
Yopen2022,1.6,f,A,1,F' U' F' U2 F' R2 U2 R2 U' R' U2,9.0, U2 R U F' U2 R2 F U F
Yopen2022,1.6,f,A,2,U' R' U' F R' F U2 R U2 R' F',9.0, F R F R' U F2 U2 R F
Yopen2022,1.6,f,A,3,U2 R U' F' U' R' U R U' F R,9.0, F' U R' U2 F' R F U' R
Yopen2022,1.6,f,A,4,U R' F R2 U2 F' R' U R' U F,9.0, U R2 U' R2 F R' F2 R2 U
Yopen2022,1.6,f,A,5,U2 R U2 R' U R' U R U' R U',9.0, U2 R' U F2 R' F' U F' U
YuraSpeedcubers2017,1.6,1,A,1,U' R' F2 U2 R U' R U2 R' U R',8.0, F2 R F' U2 F R' U F'
YuraSpeedcubers2017,1.6,1,A,2,U2 R' U' R2 F' U' R2 F R' F U',8.0, U' F2 R2 F R' U F R'
YuraSpeedcubers2017,1.6,1,A,3,U R' F R U2 R' F U' R U R2,10.0, F U' F U' F U F' U F2 R'
YuraSpeedcubers2017,1.6,1,A,4,F R U' R U' R2 U' F' R2 F' R',9.0, F2 R F2 U' F' R2 F' U' R2
YuraSpeedcubers2017,1.6,1,A,5,U2 R2 U' R U2 R U' R' U R U',9.0, U2 F R F2 U' F2 R F' U
