competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_tickcount,tickcount_solution
PribramCube2024,20.6,f,A,1,UR0+ DR4+ DL0+ UL3- U4+ R3- D2+ L4- ALL1+ y2 U2+ R1- D6+ L0+ ALL1+,23,DR1- DL5- U1- ur3+ ul3+ y2 D2+ U1+ DR4+ UR3-
PribramCube2024,20.6,f,A,2,UR4- DR2- DL3- UL1+ U4+ R5+ D5+ L6+ ALL0+ y2 U2- R4- D4- L4- ALL5-,21,UL1- R1+ L3- ul2- \5+ y2 dr1- L2+ UL2+ DR4+
PribramCube2024,20.6,f,A,3,UR1- DR3+ DL6+ UL1- U3+ R3+ D5+ L2- ALL3+ y2 U3+ R3+ D1+ L0+ ALL2+,20,DL2- UL1- R5- /1+ y2 ul4- dr1+ ur2- D1- UR3-
PribramCube2024,20.6,f,A,4,UR5+ DR4- DL6+ UL2+ U4+ R0+ D5- L2+ ALL3+ y2 U3- R1+ D4+ L0+ ALL2+,21,UR1- DR1+ DL2+ U2+ R1- ur4- y2 dl2- UL3+ DL3- DR1- /1-
PribramCube2024,20.6,f,A,5,UR3+ DR1+ DL5+ UL2- U3- R1- D1- L1+ ALL3+ y2 U0+ R2+ D1- L1- ALL4+,18,DL5- UL2+ R3- L1- ALL1+ y2 dr3- R2- DL1+
IndianNationals2014,21.0,f,B,1,UR0+ DR0+ DL0+ UL1+ U2+ R0+ D1- L2+ ALL1+ y2 U2- R2+ D2+ L4+ ALL2+ UR,19,DL1+ UL1- U2- L3- y2 ul3- U2+ L4- DR2- ALL1-
IndianNationals2014,21.0,f,B,2,UR3- DR5- DL2+ UL4- U3+ R4+ D5+ L4+ ALL4- y2 U1- R3- D0+ L6+ ALL1- UR DR UL,21,UR4+ DL2- dr1- /3- y2 ur2+ R3+ L5+ UL1+
IndianNationals2014,21.0,f,B,3,UR0+ DR4- DL2- UL1- U3- R4+ D3- L5+ ALL4- y2 U5- R3+ D3+ L0+ ALL2- DL UL,21,DL1- U4+ D2- L1- ul2- /2- y2 dl1- U5+ DR3-
IndianNationals2014,21.0,f,B,4,UR1+ DR3+ DL4- UL2+ U1- R0+ D5+ L3+ ALL5- y2 U1- R5+ D6+ L0+ ALL6+ UR DR UL,16,UR2- DR2- DL2- L1+ /1+ y2 dr1+ DR6+ UR1+
IndianNationals2014,21.0,f,B,5,UR4- DR3+ DL5+ UL2- U3+ R1+ D3- L5- ALL3+ y2 U3- R4+ D4- L4+ ALL4- UR DL,28,UL2+ U1+ D5- \3+ ALL2- y2 ur1+ R4- L1+ UL3+ DL4+ /2-
Cube4funSiedlceAutumn2023,21.4,d,B,1,UR3+ DR2+ DL5- UL3+ U5- R1- D2- L2+ ALL2- y2 U1+ R2- D4+ L5- ALL2+ UR DR UL,25,UR1+ DR5- U2- D2- /1+ y2 UL3- DL4- UR2+ /5+
Cube4funSiedlceAutumn2023,21.4,d,B,2,UR3- DR4- DL0+ UL5- U6+ R3- D4+ L0+ ALL4- y2 U4+ R1- D1+ L4+ ALL3- DR,20,UR2- UL5+ U1- ul4- \1- y2 D2- UL4- DR1+
Cube4funSiedlceAutumn2023,21.4,d,B,3,UR1- DR3+ DL2- UL1- U4+ R3- D4+ L5+ ALL4- y2 U1- R0+ D2- L2- ALL5- UL,19,UL2- R1+ D5- /1+ y2 ul2+ dl4+ dr1+ U1+ DL2+
Cube4funSiedlceAutumn2023,21.4,d,B,4,UR1+ DR2- DL3+ UL0+ U1- R2+ D1+ L2- ALL5+ y2 U2- R1- D0+ L5+ ALL2+ UR UL,17,UR1- DL2- UL1+ ul2- ALL3- y2 ul1- U1+ L5- UR1+
Cube4funSiedlceAutumn2023,21.4,d,B,5,UR0+ DR2- DL1- UL5- U1- R6+ D2- L4+ ALL2+ y2 U1+ R3+ D2- L0+ ALL1+ DL,26,UR6- DR2+ DL2+ D1+ y2 dl4+ dr5- D2+ R2- UR1- /1-
IvreaBacktoSquareOne2024,21.4,c,B,1,UR1+ DR1+ DL1+ UL2- U2+ R1- D3- L5+ ALL2+ y2 U1+ R2- D1- L2+ ALL2+,14,UR1- D1+ L4- dr2- y2 ur1- R1+ U1- L2- DR1+
IvreaBacktoSquareOne2024,21.4,c,B,2,UR1+ DR1- DL5- UL3- U1+ R5+ D2+ L0+ ALL0+ y2 U1+ R2- D4- L2+ ALL2-,25,UR2- DL5+ UL3+ R3- D1- ALL2- y2 D5+ R2+ UL1- DL1-
IvreaBacktoSquareOne2024,21.4,c,B,3,UR0+ DR4+ DL5- UL3+ U2- R6+ D0+ L3+ ALL3+ y2 U3- R5- D5- L4- ALL0+,23,DR2+ DL1- U1- y2 ul1- ur3- U3+ L4+ DR5+ \3-
IvreaBacktoSquareOne2024,21.4,c,B,4,UR4- DR1+ DL2- UL2+ U1+ R0+ D0+ L3- ALL2+ y2 U2+ R5- D5- L5+ ALL2+,24,UR1+ DL3+ R2+ D2- \1- y2 ul3+ dl1- L3- UL2- DR5+ \1-
IvreaBacktoSquareOne2024,21.4,c,B,5,UR4- DR3- DL2+ UL4+ U3- R0+ D1+ L5+ ALL0+ y2 U1+ R0+ D4- L3- ALL5-,21,UR2+ UL1+ R5+ ur2+ y2 dr1+ UL1- DL4+ \5-
AllorNothingBogota2023,21.6,c,B,1,UR4+ DR4- DL2+ UL2- U1- R4- D3+ L1- ALL5+ y2 U0+ R1+ D5- L5+ ALL4- DR,25,UR2- DR1- UL1+ R5- ALL5+ y2 dl1+ D2- R1- DL5- /2-
AllorNothingBogota2023,21.6,c,B,2,UR4+ DR4+ DL1+ UL4- U6+ R6+ D4- L5- ALL4- y2 U1- R1- D1+ L2- ALL5+ DL,18,UR1- DR1- UL4- U1- /3+ y2 ul1- dr3- D1- L2+ UR1+
AllorNothingBogota2023,21.6,c,B,3,UR1+ DR2+ DL4+ UL5+ U4+ R5+ D4- L1+ ALL2+ y2 U1- R0+ D3+ L3+ ALL5+ UR UL,22,UR2+ R2+ D2- L2+ y2 dr1+ U1+ DL3- /4- \5-
AllorNothingBogota2023,21.6,c,B,4,UR1- DR0+ DL1- UL4+ U0+ R4+ D0+ L4+ ALL4+ y2 U1+ R1- D1+ L0+ ALL5+ UR DR DL,20,UR3- DL1+ L4+ dl4- y2 dl4- D1- R1+ U1- ALL1-
AllorNothingBogota2023,21.6,c,B,5,UR3- DR4+ DL3- UL1+ U4+ R5- D6+ L4+ ALL5+ y2 U2+ R1+ D4- L4+ ALL5+ UR DR DL,23,DR5+ UL2- R1- ur3- y2 dr2+ D5- UL1- DL3- UR1-
BatamOpen2018,21.6,d,D,1,UR1+ DR6+ DL2- UL6+ U3+ R1+ D0+ L3+ ALL3- y2 U1- R2- D1+ L1- ALL1- UR DR DL UL,19,DR4+ DL2+ UL2+ D2+ L1+ /2- y2 dl2+ D1- R2+ UL1+
BatamOpen2018,21.6,d,D,2,UR1+ DR4+ DL1+ UL1- U6+ R3+ D3- L1- ALL1+ y2 U5- R1+ D2+ L4+ ALL0+ UR DR DL,25,UR5+ DR1- UL1+ D1- dl3- y2 ur3- D2- R1- U3- UL4- /1-
BatamOpen2018,21.6,d,D,3,UR5+ DR6+ DL3- UL4- U4+ R5+ D1- L5+ ALL5- y2 U1- R2+ D2+ L1+ ALL3- UR DR UL,23,UR4- DL2+ U1- D4- ur1- /4- y2 R2- UL1+ DL2- ALL2+
BatamOpen2018,21.6,d,D,4,UR4- DR3+ DL6+ UL3+ U3+ R1+ D2+ L3+ ALL5- y2 U3- R2- D2+ L0+ ALL3+ DL UL,20,U2- D1+ dl1+ y2 ur3- D1- DR1- UR3+ /5+ ALL3-
BatamOpen2018,21.6,d,D,5,UR0+ DR6+ DL1- UL1+ U3- R4+ D5+ L1+ ALL1+ y2 U4- R6+ D2- L1- ALL2+ DL UL,21,DR2+ UL2+ L3- ul3- y2 ul3+ L1+ DR2+ UR4+ \1+
CubingAtPASB2022,21.6,c,A,1,UR3+ DR2+ DL5+ UL6+ U0+ R2+ D5- L1- ALL5+ y2 U4+ R3+ D1+ L3+ ALL0+ UR DR,24,UR1+ DR2- UL2+ R6- y2 dl1+ D1- L2- UL1- UR3- /5-
CubingAtPASB2022,21.6,c,A,2,UR5- DR4+ DL2+ UL2- U3- R2- D1- L3- ALL3- y2 U5+ R6+ D4+ L4+ ALL0+ DL,26,UR1- DR4+ DL3+ U1- ul4- y2 L1- UL3- DR4- UR2- /3+
CubingAtPASB2022,21.6,c,A,3,UR5- DR1+ DL4+ UL1+ U0+ R6+ D4- L6+ ALL1+ y2 U2- R0+ D1+ L0+ ALL4+ UR UL,19,DR1- UL1+ U3+ R1- y2 ul3+ dr2+ D1+ DR2- UR2+ /3+
CubingAtPASB2022,21.6,c,A,4,UR2- DR4+ DL2- UL1+ U4+ R1+ D1+ L2+ ALL2+ y2 U4+ R1- D3- L2- ALL5-,22,UR3- DL1- D2- \5- y2 ul1- dl1- ur2- U4- DL2+ DR1+
CubingAtPASB2022,21.6,c,A,5,UR5+ DR1- DL1+ UL0+ U5- R2- D3+ L2+ ALL4+ y2 U0+ R2+ D4+ L2+ ALL2+,17,DL3- R2- ALL2- y2 dr5- ur1- DL2- DR2-
CubingKnightsV2023,21.6,f,A,1,UR4+ DR5- DL4+ UL4- U4- R5+ D1+ L3+ ALL1- y2 U2+ R1- D6+ L4+ ALL3- UR DR DL,27,UR4- UL3- U1- ur3+ /2+ y2 dl3- U2- L3+ DL5+ DR1+
CubingKnightsV2023,21.6,f,A,2,UR0+ DR3- DL5- UL2+ U4+ R6+ D1- L5- ALL3+ y2 U2+ R1+ D2+ L1- ALL6+ UR,23,UR3- DL1- UL3- D2- ul1- \3- y2 ul3+ U1- L3+ DL2- UR1-
CubingKnightsV2023,21.6,f,A,3,UR2- DR0+ DL5- UL6+ U5- R5+ D5- L2- ALL0+ y2 U2+ R5+ D2+ L5- ALL5+ UR DR,19,DR2- UL1+ R1- /2- y2 L4+ UL1+ DR2- UR3- /3+
CubingKnightsV2023,21.6,f,A,4,UR3- DR3- DL4- UL4+ U2+ R5- D4- L1+ ALL5+ y2 U3+ R3+ D1+ L4+ ALL1+ DR DL,23,DR1- U3- L1- y2 ul1+ ur4- D2+ L1- UL3- DR3- \4-
CubingKnightsV2023,21.6,f,A,5,UR3+ DR2+ DL1+ UL2+ U2+ R5+ D4- L2- ALL5- y2 U1- R1- D0+ L0+ ALL6+ DR DL UL,16,DR2+ DL1- U5+ dl1+ /1+ y2 dr2- ur3- UR1+
ImaginaliaOpen2018,21.6,c,B,1,UR4+ DR5+ DL0+ UL4+ U5+ R0+ D3+ L3- ALL3- y2 U3- R1+ D4+ L4- ALL5+ UR DR UL,22,DR1+ UL1- R2+ D3+ /4+ y2 ur2- D4- UL4+ UR1-
ImaginaliaOpen2018,21.6,c,B,2,UR2- DR2+ DL6+ UL1- U0+ R3+ D4- L4- ALL4- y2 U1+ R1+ D0+ L2+ ALL3- DR UL,17,DR3- DL1- U3+ ur5+ y2 R1- U1+ UL2- \1+
ImaginaliaOpen2018,21.6,c,B,3,UR4+ DR0+ DL3- UL5- U5+ R3- D3+ L3- ALL2+ y2 U5+ R1+ D1+ L5+ ALL1+ UR DR UL,23,UR1- DL2+ UL3- D2- dr4+ y2 dr4+ UL5- DR1- ALL1+
ImaginaliaOpen2018,21.6,c,B,4,UR3+ DR4+ DL0+ UL2+ U6+ R3+ D0+ L4+ ALL2- y2 U5+ R2+ D2+ L6+ ALL6+ UR DR DL UL,27,UR3+ DR1- DL3- UL2- L1- ALL4- y2 ul1+ ur3- U1+ UL6+ DR2-
ImaginaliaOpen2018,21.6,c,B,5,UR3- DR0+ DL4+ UL3- U1- R1- D1- L3- ALL3+ y2 U2+ R2- D2- L2- ALL4+ DR UL,19,UR4+ DL1- UL3+ D2- \1+ y2 U2- L2+ DR2+ ALL2-
LuziceSummer2023,21.6,d,A,1,UR3+ DR4- DL3+ UL5- U1- R2+ D4- L1+ ALL3- y2 U6+ R0+ D5+ L0+ ALL2- UR UL,25,UR1- DL3- UL4+ D4- y2 dr1+ D2- U3+ UL3+ DL3- \1+
LuziceSummer2023,21.6,d,A,2,UR1- DR1+ DL2+ UL1- U4+ R1+ D4- L2- ALL2+ y2 U5+ R3- D3- L5- ALL3+ DR UL,19,UR1- DL1+ U1- /1- y2 dr3- ur2- L2- UL5- DR3+
LuziceSummer2023,21.6,d,A,3,UR3+ DR4+ DL3+ UL6+ U4+ R3- D4- L4+ ALL5- y2 U3- R4- D1- L6+ ALL5+,21,DR4- UL1- D1+ dr2+ \2+ y2 dr1- L6+ DR1+ UR3+
LuziceSummer2023,21.6,d,A,4,UR3+ DR2+ DL5- UL4+ U4- R4- D2+ L0+ ALL0+ y2 U0+ R5+ D3- L3+ ALL5- UR DR,20,UR1- DL1+ U2- /4+ y2 dr1- ur1- D1- DL3- DR5- /1-
LuziceSummer2023,21.6,d,A,5,UR1- DR2+ DL4+ UL4- U5+ R3- D2+ L1- ALL3+ y2 U3+ R2- D5+ L6+ ALL2+ UL,23,DL1+ R2+ D3+ ALL1- y2 dl1+ dr1+ L4+ DL2+ DR5+ UR3-
SouthGermany2025,21.6,d,B,1,UR2+ DR0+ DL0+ UL2- U3+ R1- D2+ L5+ ALL2- y2 U1+ R3+ D2+ L1+ ALL6+,16,UR1- DL2- UL1- U1- dr2- y2 dr1- L1- DR2- UR1- ALL4+
SouthGermany2025,21.6,d,B,2,UR2+ DR1+ DL4- UL5+ U5+ R0+ D1- L0+ ALL0+ y2 U2- R6+ D0+ L3+ ALL1-,26,UR3- UL1- U4+ D4+ y2 ul4+ R3+ L2- UL1- UR3+ \1-
SouthGermany2025,21.6,d,B,3,UR5+ DR2- DL3- UL0+ U3+ R1+ D5+ L4- ALL4- y2 U1+ R2+ D4+ L4- ALL3-,25,UR4- UL4- L1- ur3- ALL1- y2 D4- L3+ UL1+ UR2- \2+
SouthGermany2025,21.6,d,B,4,UR1- DR6+ DL3- UL1+ U2- R4+ D2- L4+ ALL5- y2 U1+ R1+ D0+ L1- ALL2+,21,UR2+ DR1- R2+ L2- ur3- y2 dl3+ dr1- L1+ UR1- \5-
SouthGermany2025,21.6,d,B,5,UR1+ DR3- DL2+ UL0+ U5+ R4+ D1- L5- ALL3- y2 U1+ R1+ D2+ L2+ ALL2-,20,UR4- DR2+ U2- L3+ ALL1+ y2 ul3- dr2+ UL1- DL1- DR1-
SpokaneSummer2023,21.6,f,A,1,UR5- DR2- DL2+ UL2- U3+ R6+ D0+ L1+ ALL1- y2 U0+ R4+ D0+ L6+ ALL0+ DR UL,24,DR1+ DL1- U4+ dl5- /1- y2 ul1- dl1+ R4- L6+
SpokaneSummer2023,21.6,f,A,2,UR2- DR2- DL2+ UL3- U2+ R2+ D3+ L6+ ALL1- y2 U1+ R0+ D5+ L1- ALL3- UR DR DL UL,23,UR2+ DL3- UL1+ L3- ALL4- y2 ul1+ D5- U1- L1+ \2+
SpokaneSummer2023,21.6,f,A,3,UR2- DR4- DL1- UL3+ U1- R3+ D1+ L1- ALL0+ y2 U3- R3- D2+ L2+ ALL0+ UR DL UL,14,DR3+ DL1+ L2- y2 dr2+ ur1- DL2- UR3+
SpokaneSummer2023,21.6,f,A,4,UR4+ DR1- DL4+ UL3- U4+ R2+ D1+ L4- ALL5- y2 U3- R5+ D1+ L1- ALL2+ UR DR DL UL,30,UR4+ DR1+ UL3+ R2+ D5- \5+ y2 R4- L2- UL3+ DR1-
SpokaneSummer2023,21.6,f,A,5,UR1- DR1- DL1- UL3+ U2+ R0+ D3+ L0+ ALL5- y2 U0+ R3- D0+ L0+ ALL0+ UR DR,17,UL4- R2+ D1- L2+ /1- \1- ALL3+ y2 R3+
LLSMeetingDays2018,21.8,1,A,1,UR0+ DR5- DL5- UL5+ U5- R5+ D5+ L1- ALL4+ y2 U0+ R2- D5+ L1+ ALL2- UR UL,25,DL5+ L4- ul2+ /6- y2 dl1+ D4- R2+ DL1-
LLSMeetingDays2018,21.8,1,A,2,UR2- DR5- DL3+ UL6+ U2- R2+ D5+ L5+ ALL4- y2 U1+ R5- D2- L1+ ALL4+ UR DR DL UL,21,DR3- UL2- R4- ur1+ y2 dr1+ R3+ UL1- DR2+ \4-
LLSMeetingDays2018,21.8,1,A,3,UR4+ DR2- DL2- UL2+ U6+ R5- D4+ L0+ ALL4- y2 U1+ R1+ D2+ L2- ALL3+,22,DR3+ D3- /1+ ALL4- y2 dr4- U2- L2+ DR2- UR1+
LLSMeetingDays2018,21.8,1,A,4,UR1- DR4- DL5+ UL6+ U5+ R2- D6+ L6+ ALL5- y2 U2+ R3- D3- L1+ ALL2+ DR DL,25,DR5- DL2- UL3- U5+ /3+ ALL2- y2 U1- UL1- DR3+
LLSMeetingDays2018,21.8,1,A,5,UR5+ DR3+ DL2- UL0+ U6+ R3+ D4- L3- ALL4+ y2 U1- R2- D3- L2- ALL4+ UR UL,16,DL3+ UL1+ R1+ L1+ dl5+ ul1+ y2 DL2+ DR1+ UR1+
N8W8Summer2016,21.8,c,B,1,UR5- DR1+ DL5+ UL1+ U2+ R1+ D2+ L4+ ALL2- y2 U0+ R4- D5- L1+ ALL2- UR DR DL,21,UR2+ DR1+ DL2+ D1+ dl3- y2 ul3- dl1- ur2- D1+ L1- DR4+
N8W8Summer2016,21.8,c,B,2,UR3- DR3- DL0+ UL3- U3- R1+ D4+ L1- ALL2+ y2 U2- R2+ D5+ L3+ ALL2- UL,22,UR5+ UL4+ D1- ALL2- y2 dl1- U2+ DL3- DR2- /2-
N8W8Summer2016,21.8,c,B,3,UR3+ DR5- DL3- UL1- U4- R2+ D4+ L6+ ALL0+ y2 U0+ R2+ D6+ L3- ALL2- DR DL,25,DL4+ UL2+ L4+ y2 dr2- R2- L3- DL6+ /1- \1-
N8W8Summer2016,21.8,c,B,4,UR2- DR5- DL5- UL4- U3- R5+ D2+ L3+ ALL2+ y2 U6+ R0+ D2- L2+ ALL4-,25,DL3- UL3- R2+ D1- y2 ul2- U2- UL2- DR2+ UR2- \5+ ALL1-
N8W8Summer2016,21.8,c,B,5,UR2- DR4+ DL2+ UL3+ U2- R5- D6+ L5- ALL0+ y2 U2- R2- D1- L1- ALL3- DR DL,16,UR3+ U2- dr2- y2 ul2- dr1- DL1+ UR2+ \3-
SaoMiguelBlindSides2024,21.8,f,A,1,UR1- DR2- DL0+ UL4+ U3- R0+ D4+ L3- ALL4+ y2 U1- R2- D1+ L3- ALL2+,18,UR1+ DR2+ UL1- D4- dr1+ ALL2- y2 D1- U1- L3+ UR2+
SaoMiguelBlindSides2024,21.8,f,A,2,UR0+ DR0+ DL4- UL2+ U1- R0+ D5- L5+ ALL6+ y2 U0+ R5- D2- L5+ ALL4+,17,DL3- U1- ul1+ y2 L2- DL3- DR5+ \2-
SaoMiguelBlindSides2024,21.8,f,A,3,UR2- DR3- DL1+ UL1- U2- R5- D4+ L4+ ALL6+ y2 U2- R2- D2- L6+ ALL1+,27,DR2- UL4- U3- /5- y2 ul1- U2+ L6+ DR2+ /2+
SaoMiguelBlindSides2024,21.8,f,A,4,UR3+ DR4+ DL2+ UL4+ U5+ R5+ D5+ L6+ ALL4+ y2 U4+ R0+ D3+ L1+ ALL3-,19,D1+ /4+ \4+ ALL1+ y2 ul2+ D3- U3- UL1-
SaoMiguelBlindSides2024,21.8,f,A,5,UR5+ DR6+ DL2+ UL3- U2+ R4- D2- L3- ALL5+ y2 U5- R1- D1- L2- ALL1-,28,UR1- DR6- UL4+ U5+ \2+ y2 D1+ U2+ UL2+ UR1+ ALL4+
AsianChampionship2018,22.0,1,B,1,UR1- DR0+ DL1+ UL0+ U4- R4- D5+ L0+ ALL1- y2 U1+ R4- D1- L1- ALL0+,23,UR5+ DL1- D5- dl4+ ALL1+ y2 D1+ R4+ U1- L1+
AsianChampionship2018,22.0,1,B,2,UR2- DR2- DL2+ UL5+ U2+ R6+ D2+ L5+ ALL3+ y2 U1- R4- D6+ L2- ALL1+ UR DR UL,23,DR2- U5- \2- y2 dl1- ur2- U1+ DL2+ DR4+ \4-
AsianChampionship2018,22.0,1,B,3,UR2+ DR3+ DL4- UL5- U0+ R1- D2+ L1+ ALL4+ y2 U0+ R0+ D2+ L2+ ALL3- UR DL,25,UR1- DR5- DL4+ UL4+ R2+ dl1+ ALL5+ y2 dl1+ DL2-
AsianChampionship2018,22.0,1,B,4,UR5+ DR2+ DL1- UL1- U4- R3- D1+ L0+ ALL3- y2 U1+ R4+ D2+ L3- ALL6+ UR DR DL UL,22,UR2- DR2- UL2+ dr3+ \3+ y2 ul2+ U1+ L3+ DR2- UR2-
AsianChampionship2018,22.0,1,B,5,UR6+ DR2+ DL0+ UL1- U2- R2- D1+ L1+ ALL4+ y2 U0+ R1+ D3- L1- ALL1+,17,UR3- DR3- ALL3- y2 dr2- ur1+ D3+ UL1+ UR1-
Cube4funinWarsaw2024,22.0,f,A,1,UR4- DR1+ DL6+ UL2+ U1+ R0+ D6+ L3- ALL2+ y2 U3+ R2- D6+ L3+ ALL3-,24,UR1+ DR2+ DL3- L2- /3+ y2 ul1- dl1+ D4+ UL3- DR2+ ALL2+
Cube4funinWarsaw2024,22.0,f,A,2,UR2- DR1- DL3- UL4- U3+ R4- D4+ L4+ ALL1- y2 U5+ R2+ D2+ L3+ ALL5-,21,UL3+ R5- ur2- ALL4- y2 U2- UL2- DL1- DR1- UR1-
Cube4funinWarsaw2024,22.0,f,A,3,UR4+ DR1- DL3+ UL4+ U4- R2- D3+ L5- ALL1+ y2 U1+ R0+ D0+ L1+ ALL2-,17,UR2- UL2- R1+ D5- dr2+ \3+ y2 ur1+ UL1-
Cube4funinWarsaw2024,22.0,f,A,4,UR1+ DR5+ DL1- UL3- U1- R6+ D6+ L1+ ALL4- y2 U0+ R4- D1+ L3+ ALL5+,23,UL3+ D2+ ALL3- y2 dr1- ur5- R5+ L3- DR1-
Cube4funinWarsaw2024,22.0,f,A,5,UR2- DR2- DL5- UL3- U2+ R1+ D1+ L2- ALL3+ y2 U4- R4+ D5+ L0+ ALL5+,25,UR3+ D6- L2- y2 dl1+ dr1- R1+ U4+ DR5- \2+
MinnesotaCubeDays2020,22.0,d,B,1,UR1- DR4+ DL3- UL4- U4+ R0+ D2- L4- ALL5+ y2 U2+ R3+ D2+ L1- ALL6+ DL,19,DR3- U1+ D4+ L1- y2 ul1+ dl2+ D2- DL1+ DR1- UR2- /1+
MinnesotaCubeDays2020,22.0,d,B,2,UR2+ DR0+ DL5- UL4- U2+ R5- D4- L1- ALL1+ y2 U5+ R0+ D2+ L5+ ALL5+ UR DR DL UL,25,DL2- R3+ D1- dr4- \5- ALL1- y2 ul2+ D2- UL5-
MinnesotaCubeDays2020,22.0,d,B,3,UR2+ DR0+ DL0+ UL1- U1- R2- D2+ L3+ ALL2- y2 U2- R4- D1+ L0+ ALL4- UR UL,16,DL2- dr1- \2+ y2 ul4+ D1- R4+ U2+
MinnesotaCubeDays2020,22.0,d,B,4,UR2+ DR6+ DL2- UL2- U3+ R4+ D4+ L3+ ALL5+ y2 U3- R1- D2+ L0+ ALL2+ DL UL,21,UR2- DR2+ DL2+ UL1- y2 D2- U2+ UR1+ \4+ ALL5-
MinnesotaCubeDays2020,22.0,d,B,5,UR6+ DR2- DL0+ UL4+ U3- R4- D4+ L1- ALL1+ y2 U3+ R4- D2+ L6+ ALL1- DL,29,UL5+ D2- L4+ y2 dl3+ dr2+ R4+ U1+ UL4- DL2- ALL2+
OsloOpen2025,22.0,1,B,1,UR2- DR5- DL2+ UL3- U4+ R2+ D0+ L1+ ALL4+ y2 U4- R1+ D3+ L5- ALL5-,25,UR2+ DR3+ U1- dl4- /3- y2 ul2- D4- R1- UL4+ DL1+
OsloOpen2025,22.0,1,B,2,UR1+ DR4+ DL4- UL2- U3- R6+ D5- L0+ ALL2+ y2 U1+ R1- D4+ L4- ALL1+,26,DL5+ UL1+ U3+ R1+ \3+ y2 D4+ R2+ DL4+ UR1- /2+
